帧号(Frame),时间(s)(Time),像素位移X(PixelX),像素位移Y(PixelY),物理位移y(m)(PhysicalY),瞬时速度v(m/s)(Velocity),加速度a(m/s^2)(Acceleration),瞬时动能Ek(J),瞬时势能Ep(J),机械能E(J)
1,0.0,0.0,0.0,-0.0575899651437039,-0.011811958434984615,0.3286164080127829,1.0464177155235314e-05,7.434657248761244,7.434667712938399
2,0.004166666666666667,0.0,0.0,-0.057639181637183005,-0.011127340918291317,0.3286164080127829,9.28632869339102e-06,7.434729597006658,7.434738883335352
3,0.008333333333333333,0.0,0.0,-0.057682692984689664,-0.010628322473819063,-0.08908755466610074,8.472092895561553e-06,7.434793558687494,7.434802030780389
4,0.0125,0.0,0.0,-0.0577277509911315,-0.011791048327421672,-0.4690208550631514,1.0427161549469504e-05,7.434859793956963,7.434870221118512
5,0.016666666666666666,0.0,0.0,-0.05778095172075151,-0.014420371964871115,-0.7930544909125814,1.559603457039306e-05,7.434937999029504,7.434953595064075
6,0.020833333333333332,0.0,0.0,-0.057847920757505424,-0.018252367466642383,-1.0463033499376273,2.4986168860300896e-05,7.435036443513533,7.435061429682393
7,0.025,0.0,0.0,-0.05793305478297353,-0.022969159840550424,-1.2177569895382323,3.956867278355658e-05,7.435161590530971,7.435201159203754
8,0.029166666666666667,0.0,0.0,-0.058039330422843344,-0.02821599311889328,-1.3007229840663381,5.971067007640746e-05,7.43531781572158,7.435377526391656
9,0.03333333333333333,0.0,0.0,-0.05816818805896431,-0.03361971576166106,-1.2930638844621978,8.47713965921161e-05,7.435507236446677,7.435592007843269
10,0.0375,0.0,0.0,-0.058319494720857186,-0.03880780380920823,-1.1972183783604429,0.00011295342273704975,7.435729657239659,7.435842610662396
11,0.041666666666666664,0.0,0.0,-0.058491586424041044,-0.04342702379813712,-1.0200072163254248,0.00014144297969729758,7.4359826320433395,7.436124075023037
12,0.04583333333333333,0.0,0.0,-0.05868138658584166,-0.047160860553408235,-0.7722344262047098,0.00016681100761035126,7.436261638281187,7.4364284492887975
13,0.05,0.0,0.0,-0.058884593595319445,-0.0497448985579757,-0.4681038159876749,0.000185591619940747,7.436560352585119,7.43674594420506
14,0.05416666666666667,0.0,0.0,-0.059095927407158126,-0.050979446773444514,-0.12447932743735457,0.00019491779949948467,7.436871013288522,7.437065931088021
15,0.058333333333333334,0.0,0.0,-0.05930942231843148,-0.05073883089059206,0.23997495120653412,0.00019308217201080742,7.4371848508080936,7.437377932980104
16,0.0625,0.0,0.0,-0.05951875099791306,-0.04897693783185608,0.6057337169867338,0.00017990553295391216,7.437492563966932,7.437672469499885
17,0.06666666666666667,0.0,0.0,-0.059717563467030284,-0.04572877744268594,0.9533832698149336,0.0001568340814802027,7.437784818296534,7.437941652378014
18,0.07083333333333333,0.0,0.0,-0.059899824143268776,-0.04110801729249436,1.2645816022770262,0.00012674018142900113,7.438052741490605,7.438179481672034
19,0.075,0.0,0.0,-0.06006013027780107,-0.03530063940160144,1.5229597853515742,9.346013566214221e-05,7.438288391508367,7.43838185164403
20,0.07916666666666666,0.0,0.0,-0.06019399613828212,-0.0285550534179263,1.714921486812493,6.115433067754683e-05,7.438485174323274,7.438546328653952
21,0.08333333333333333,0.0,0.0,-0.06029808905628379,-0.021169170466352194,1.8303023299430787,3.361003336751085e-05,7.438638190912737,7.438671800946104
22,0.0875,0.0,0.0,-0.06037040589216839,-0.013475087460645407,1.8628575127961788,1.3618348655403231e-05,7.438744496661487,7.438758115010142
23,0.09166666666666666,0.0,0.0,-0.06041038145178917,-0.005822146062922362,1.810554358110883,2.542303858350177e-06,7.4388032607341295,7.4388058030379876
24,0.09583333333333333,0.0,0.0,-0.060418923776026076,0.0014407919128617275,1.67565587026548,1.5569110021258167e-07,7.438815817950758,7.438815973641858
25,0.1,0.0,0.0,-0.06039837485251532,0.007982973932018633,1.4645914989298348,4.779590459946678e-06,7.438785611033198,7.438790390623658
26,0.10416666666666667,0.0,0.0,-0.060352398993259254,0.01350841803375441,1.1876216699033382,1.3685801833099602e-05,7.438718026520091,7.438731712321924
27,0.10833333333333334,0.0,0.0,-0.06028580470223403,0.01777078140010213,0.858312745943568,2.368505036776619e-05,7.438620132912284,7.438643817962652
28,0.1125,0.0,0.0,-0.0602043091482584,0.020585700523821082,0.4928484334415284,3.178282995423357e-05,7.43850033444794,7.438532117277894
29,0.11666666666666667,0.0,0.0,-0.06011425719786886,0.02183999266315073,0.10921179343670318,3.5773895964485835e-05,7.438367958080867,7.438403731976831
30,0.12083333333333333,0.0,0.0,-0.060022309209398814,0.021497264187406995,-0.2737214617936967,3.465992756573785e-05,7.438232794537816,7.4382674544653815
31,0.125,0.0,0.0,-0.059935113329640466,0.019599650434556914,-0.6371331395743418,2.8810972286762028e-05,7.438104616594571,7.438133427566858
32,0.12916666666666665,0.0,0.0,-0.05985897878911084,0.016265605150619922,-0.9632085967154147,1.9842743318690498e-05,7.4379926988199925,7.438012541563311
33,0.13333333333333333,0.0,0.0,-0.05979956662005197,0.011683855977042412,-1.2360310066017899,1.0238436786920227e-05,7.437905362931476,7.437915601368263
34,0.1375,0.0,0.0,-0.059761613322635486,0.006103835947762759,-1.4423786074524436,2.794260995790067e-06,7.437849571584274,7.43785236584527
35,0.14166666666666666,0.0,0.0,-0.05974870132048728,-0.00017692018294379608,-1.5723843352867028,2.34755633496497e-09,7.4378305909411155,7.4378305932886715
36,0.14583333333333334,0.0,0.0,-0.05976308765749335,-0.00682777087816,-1.620023998417075,3.4963841373487333e-06,7.437851738856515,7.437855235240653
37,0.15,0.0,0.0,-0.05980559941113861,-0.01350158689424702,-1.5834076893046944,1.3671963649717716e-05,7.437914231134373,7.437927903098023
38,0.15416666666666667,0.0,0.0,-0.059875600881612076,-0.01985214260427165,-1.464859051507128,2.9558067448525315e-05,7.438017133295969,7.438046691363418
39,0.15833333333333333,0.0,0.0,-0.059971033932840874,-0.02555138613600516,-1.2707778437249573,4.896550001034275e-05,7.438157419881276,7.438206385381286
40,0.1625,0.0,0.0,-0.06008852909941212,-0.030305699213364068,-1.0112924334073181,6.888265536081716e-05,7.438330137776135,7.438399020431496
41,0.16666666666666666,0.0,0.0,-0.060223581426285575,-0.033870308121465575,-0.6997198424814055,8.603983291822626e-05,7.43852866469664,7.438614704529558
42,0.17083333333333334,0.0,0.0,-0.060370781667091,-0.03606110193441564,-0.3518611877346256,9.753023045432366e-05,7.438745049050623,7.4388425792810775
43,0.175,0.0,0.0,-0.06052409060907237,-0.03676324870915404,0.014830735860194011,0.00010136523417383372,7.438970413195336,7.4390717784295095
44,0.17916666666666667,0.0,0.0,-0.060677142073000616,-0.03593616826029877,0.3821678795903338,9.685561419243786e-05,7.4391953988473105,7.4392922544615026
45,0.18333333333333332,0.0,0.0,-0.060823558677908195,-0.03361461301510743,0.7321786381015105,8.474566561165724e-05,7.439410631256525,7.439495376922136
46,0.1875,0.0,0.0,-0.06095726384812651,-0.029905816435338572,1.0480437201875414,6.70768392498125e-05,7.439607177856746,7.439674254695996
47,0.19166666666666665,0.0,0.0,-0.06107277381486935,-0.024982880691598874,1.3149654368075137,4.6810824573799785e-05,7.439776977507858,7.439823788332432
48,0.19583333333333333,0.0,0.0,-0.0611654545205565,-0.019074780309385198,1.5209227466550512,2.7288543288848192e-05,7.439913218145218,7.439940506688507
