帧号(Frame),时间(s)(Time),像素位移X(PixelX),像素位移Y(PixelY),物理位移y(m)(PhysicalY),瞬时速度v(m/s)(Velocity),加速度a(m/s^2)(Acceleration),瞬时动能Ek(J),瞬时势能Ep(J),机械能E(J)
1,0.0,0.0,0.0,-0.02997445548567882,0.020129725241179452,6.561905046167826,3.0390437871403285e-05,7.394062449563948,7.394092840001819
2,0.004166666666666667,0.0,0.0,-0.02989058163050724,0.03380036075402909,6.561905046167826,8.568482903268824e-05,7.393939154996845,7.394024839825878
3,0.008333333333333333,0.0,0.0,-0.029692785812728578,0.06101298606207603,6.500155101694705,0.00027919383511583126,7.3936483951447105,7.393927588979826
4,0.0125,0.0,0.0,-0.02938214007998994,0.08765487902737595,6.287953521649259,0.0005762533362977934,7.393191745917584,7.393767999253882
5,0.016666666666666666,0.0,0.0,-0.028962328487500445,0.11311006769380516,5.930537038236761,0.0009595415560272889,7.392574622876626,7.393534164432653
6,0.020833333333333332,0.0,0.0,-0.028439556182541563,0.13679308955485747,5.437313455068349,0.001403426201247244,7.391806147588336,7.3932095737895835
7,0.025,0.0,0.0,-0.0278223860745433,0.15816574809601497,4.8215626446872495,0.0018762302903079045,7.390898907529579,7.3927751378198865
8,0.029166666666666667,0.0,0.0,-0.027121508281741438,0.1767523740948687,4.100017834762548,0.002343105131112931,7.38986861717416,7.392211722305273
9,0.03333333333333333,0.0,0.0,-0.026349449623752727,0.19215312074237226,3.2923405560391528,0.002769211635827452,7.388733690946916,7.391502902582744
10,0.0375,0.0,0.0,-0.025520232275555003,0.20405488451449946,2.4205060545819057,0.003122879692066929,7.387514741445066,7.390637621137133
11,0.041666666666666664,0.0,0.0,-0.024648992252798565,0.21223951978381964,1.5081188746917773,0.0033784210318549774,7.3862340186116135,7.389612439643469
12,0.04583333333333333,0.0,0.0,-0.02375156961068984,0.21658910202227363,0.5796805997661414,0.0035183129336111138,7.384914807327713,7.3884331202613245
13,0.05,0.0,0.0,-0.022844083069279618,0.21708808935112123,-0.3401666819192961,0.003534542890359029,7.38358080211184,7.387115345002199
14,0.05416666666666667,0.0,0.0,-0.021942502199430496,0.21382233210218135,-1.2273967975718447,0.003428999227921165,7.382255478233162,7.3856844774610835
15,0.058333333333333334,0.0,0.0,-0.02106223030176144,0.2069749817407808,-2.0593313759004195,0.0032128982299947408,7.380961478543589,7.384174376773584
16,0.0625,0.0,0.0,-0.02021771068492399,0.19681945065645579,-2.8153235445755875,0.0029053422117531775,7.379720034706838,7.382625376918591
17,0.06666666666666667,0.0,0.0,-0.019422068212957642,0.18370966966605395,-3.4773713308172916,0.0025311932046607998,7.378550440273047,7.381081633477708
18,0.07083333333333333,0.0,0.0,-0.018686796771040206,0.16806797743839516,-4.030640938458929,0.002118513378017468,7.377469591253429,7.379588104631447
19,0.075,0.0,0.0,-0.01802150173430435,0.15037105251727106,-4.463883023680637,0.001695859007636392,7.376491607549427,7.378187466557064
20,0.07916666666666666,0.0,0.0,-0.017433704666729614,0.1311343615993242,-4.769728616933855,0.0012897165594046736,7.375627545860092,7.3769172624194965
21,0.08333333333333333,0.0,0.0,-0.016928715387643314,0.11089564504533689,-4.944855328980058,0.0009223383067516013,7.374885211619835,7.375807549926587
22,0.0875,0.0,0.0,-0.016509574291351806,0.09019799059617764,-4.990018806616381,0.0006101758130691112,7.374269074208287,7.374879250021356
23,0.09166666666666666,0.0,0.0,-0.0161770654660085,0.06957305781597506,-4.909948927880858,0.0003630307780398756,7.373780286235032,7.374143317013072
24,0.09583333333333333,0.0,0.0,-0.015929798809552014,0.04952500838734053,-4.713114797863716,0.00018395448418246122,7.373416804250041,7.373600758734224
25,0.1,0.0,0.0,-0.015764357062780662,0.03051567115914658,-4.411367071669381,6.984046397198776e-05,7.373173604882287,7.373243445346259
26,0.10416666666666667,0.0,0.0,-0.01567550154989246,0.012951426553974021,-4.019470338813447,1.2580458733723755e-05,7.373042987278342,7.373055567737075
27,0.10833333333333334,0.0,0.0,-0.015656428508164212,-0.002827766042570179,-3.5545421075277694,5.997195593634758e-07,7.3730149499070015,7.373015549626561
28,0.1125,0.0,0.0,-0.015699066266913878,-0.016556850003745655,-3.035418193836459,2.0559696153489934e-05,7.373077627412363,7.373098187108517
29,0.11666666666666667,0.0,0.0,-0.015794402258195426,-0.02805140234530004,-2.481966930109647,5.901608801534285e-05,7.373217771319547,7.373276787407563
30,0.12083333333333333,0.0,0.0,-0.01593282795312471,-0.037210451079932455,-1.9143764625139115,0.00010384632521790348,7.373421257091093,7.373525103416311
31,0.125,0.0,0.0,-0.016104489350528196,-0.044016319610061805,-1.3524404319481764,0.00014530772940113336,7.373673599345276,7.373818907074677
32,0.12916666666666665,0.0,0.0,-0.016299630616541893,-0.048531544428123824,-0.8148674807215928,0.00017664831034342173,7.373960457006317,7.3741371053166604
33,0.13333333333333333,0.0,0.0,-0.016508918887429228,-0.05089301684377004,-0.31863927878859055,0.00019425743725951956,7.374268110764521,7.3744623682017805
34,0.1375,0.0,0.0,-0.016723739090239977,-0.05130359894689768,0.12155986928732432,0.00019740444486780902,7.374583896462652,7.37478130090752
35,0.14166666666666666,0.0,0.0,-0.016936448878653376,-0.0500215549485801,0.4938212499051131,0.00018766169696053637,7.37489657985162,7.37508424154858
36,0.14583333333333334,0.0,0.0,-0.017140585381478144,-0.047348218062960024,0.7893804551925232,0.00016813903153032104,7.375196660510772,7.375364799542303
37,0.15,0.0,0.0,-0.017331017362511376,-0.04361437720848793,1.0028631549540812,0.00014266604244632036,7.375476595522891,7.375619261565338
38,0.15416666666666667,0.0,0.0,-0.01750403852488221,-0.03916591449795573,1.1323989461013761,0.0001150476643845884,7.375730936631577,7.375845984295961
39,0.15833333333333333,0.0,0.0,-0.017657399983327673,-0.0343492518098204,1.1795991442035803,8.849033249208377e-05,7.375956377975491,7.376044868307983
40,0.1625,0.0,0.0,-0.017790282289964047,-0.029497171401976358,1.1493994515615613,6.525623405381789e-05,7.376151714966247,7.376216971200301
41,0.16666666666666666,0.0,0.0,-0.01790320974501081,-0.024915560977044754,1.0497735524056084,4.655888841006265e-05,7.376317718325166,7.376364277213576
42,0.17083333333333334,0.0,0.0,-0.017997911964772753,-0.020871598028544408,0.8913286628745576,3.267177031988541e-05,7.3764569305882155,7.376489602358536
43,0.175,0.0,0.0,-0.018077139728582013,-0.017583832656679205,0.68679871562074,2.3189337817357354e-05,7.3765733954010155,7.376596584738833
44,0.17916666666666667,0.0,0.0,-0.018144443903578413,-0.015214554069028774,0.45045500645146674,1.7361199163955e-05,7.37667233253826,7.376689693737424
45,0.18333333333333332,0.0,0.0,-0.018203927679157253,-0.013864736125086818,0.1974576066406719,1.4417318086371558e-05,7.376759773688361,7.376774191006447
46,0.1875,0.0,0.0,-0.01825998337128747,-0.013571754649892437,-0.056826498547368764,1.3814439320765773e-05,7.376842175555792,7.3768559899951125
47,0.19166666666666665,0.0,0.0,-0.018317025634573023,-0.014309957500315135,-0.2975108696555262,1.5358116274561903e-05,7.376926027682822,7.376941385799097
48,0.19583333333333333,0.0,0.0,-0.01837923301712343,-0.01599405163570128,-0.5108543153298228,1.9185726579410905e-05,7.377017472535171,7.37703665826175
49,0.2,0.0,0.0,-0.018450309398203867,-0.018485154153352196,-0.6848748931426174,2.5627569305489544e-05,7.377121954815359,7.377147582384665
50,0.20416666666666666,0.0,0.0,-0.018533275968401364,-0.021599240990162055,-0.8098867885261152,3.498954085133225e-05,7.377243915673549,7.377278905214401
51,0.20833333333333334,0.0,0.0,-0.018630303073121884,-0.02511762235257009,-0.8789362654297417,4.731712144847465e-05,7.3773865455174885,7.377433862638937
52,0.2125,0.0,0.0,-0.018742589488006115,-0.02879898233122083,-0.888116524322613,6.220360374854771e-05,7.377551606547368,7.377613810151117
53,0.21666666666666667,0.0,0.0,-0.018870294592548725,-0.03239244565113847,-0.8367458692378538,7.869529014464696e-05,7.377739333051046,7.377818028341191
54,0.22083333333333333,0.0,0.0,-0.019012526535098936,-0.035651080655688255,-0.727398932946044,9.53249663938792e-05,7.377948414006595,7.378043738972989
