帧号(Frame),时间(s)(Time),像素位移X(PixelX),像素位移Y(PixelY),物理位移y(m)(PhysicalY),瞬时速度v(m/s)(Velocity),加速度a(m/s^2)(Acceleration),瞬时动能Ek(J),瞬时势能Ep(J),机械能E(J)
1,0.0,0.0,0.0,-0.016295562176657133,-0.06138699759665023,0.570309475252162,0.0002826272605448355,7.373954476399685,7.3742371036602306
2,0.004166666666666667,0.0,0.0,-0.016551341333309842,-0.06019885285654156,0.570309475252162,0.0002717926413932656,7.374330471759965,7.374602264401358
3,0.008333333333333333,0.0,0.0,-0.01679721928379498,-0.05781298410586236,0.5749075250738533,0.00025067558484185204,7.374691912347179,7.37494258793202
4,0.0125,0.0,0.0,-0.017033116200858695,-0.05554789264006682,0.5123363785080048,0.0002314176282564292,7.375038680815262,7.375270098443519
5,0.016666666666666666,0.0,0.0,-0.01726011838912887,-0.0536688328367918,0.38961232706400395,0.00021602577135476265,7.375372374032019,7.375588399803374
6,0.020833333333333332,0.0,0.0,-0.017480356474498627,-0.05240654340215284,0.21628660156269852,0.0002059834343521297,7.375696124017512,7.375902107451864
7,0.025,0.0,0.0,-0.01769683958414681,-0.051947558045250114,0.0040263697506093266,0.00020239115901484722,7.376014354188696,7.376216745347711
8,0.029166666666666667,0.0,0.0,-0.017913252791542378,-0.052426431359019615,-0.23388556035996988,0.00020613980287814964,7.376332481603567,7.3765386214064455
9,0.03333333333333333,0.0,0.0,-0.01813372651213864,-0.05392017822374112,-0.4831129347063534,0.00021805392147600046,7.3766565779728435,7.376874631894319
10,0.0375,0.0,0.0,-0.018362587610073554,-0.056445139218087304,-0.7288683425798137,0.0002389540306011943,7.376993003786808,7.3772319578174095
11,0.041666666666666664,0.0,0.0,-0.018604102672289367,-0.0599563903419853,-0.9565321968912244,0.0002696076557130381,7.377348030928265,7.377617638583978
12,0.04583333333333333,0.0,0.0,-0.018862224196256765,-0.06434971631568628,-1.1522642704852482,0.0003105664492431976,7.377727469568497,7.37803803601774
13,0.05,0.0,0.0,-0.01914035030825342,-0.06946606652645043,-1.3035838306815428,0.00036191507989929273,7.3781363149531325,7.378498230033032
14,0.05416666666666667,0.0,0.0,-0.019441108083977185,-0.07509831513650075,-1.3998955021426118,0.00042298177022558834,7.378578428883446,7.379001410653672
15,0.058333333333333334,0.0,0.0,-0.019766169601057593,-0.0810000556757634,-1.4329399567034606,0.0004920756764607579,7.379056269313554,7.379548344990015
16,0.0625,0.0,0.0,-0.02011610854794188,-0.08689607915759692,-1.397151314576628,0.0005663196429722513,7.379570679565474,7.380136999208447
17,0.06666666666666667,0.0,0.0,-0.020490303594037567,-0.09249411658294793,-1.2899066495918543,0.0006416371201844971,7.380120746283235,7.380762383403419
18,0.07083333333333333,0.0,0.0,-0.02088689285279978,-0.09749737439200074,-1.1116570987534935,0.000712930351000047,7.3807037324936156,7.381416662844615
19,0.075,0.0,0.0,-0.021302781713970907,-0.10161735717160947,-0.8659346354586983,0.0007744565458906838,7.3813150891195365,7.382089545665427
20,0.07916666666666666,0.0,0.0,-0.02173370416256319,-0.10458645726484916,-0.5592334092963558,0.000820374528240909,7.381948545118967,7.382768919647209
21,0.08333333333333333,0.0,0.0,-0.022174335524511316,-0.1061697966636177,-0.20076950211254108,0.0008454019292695445,7.382596273221031,7.3834416751503005
22,0.0875,0.0,0.0,-0.02261845246809334,-0.10617583273433595,0.1978721881677803,0.0008454980592622264,7.3832491251280965,7.384094623187359
23,0.09166666666666666,0.0,0.0,-0.023059134130630782,-0.10446528518292003,0.6231906365118611,0.0008184746856261608,7.383896927172027,7.384715401857654
24,0.09583333333333333,0.0,0.0,-0.02348899651128434,-0.10095800568728538,1.0603035213927692,0.0007644389184265462,7.3845288248715875,7.385293263790014
25,0.1,0.0,0.0,-0.023900450844691494,-0.0956374915610296,1.4935432592100062,0.0006859897344064506,7.385133662741696,7.385819652476102
26,0.10416666666666667,0.0,0.0,-0.024285975607626253,-0.08855283774672942,1.9070905716540798,0.000588120380474894,7.3857003841432105,7.3862885045236855
27,0.10833333333333334,0.0,0.0,-0.024638391159247573,-0.07981802389274484,2.285620078258521,0.0004778187703607089,7.386218435004094,7.3866962537744545
28,0.1125,0.0,0.0,-0.02495112580673246,-0.06960854132061128,2.614931556365585,0.0003634011768587436,7.386678154935896,7.387041556112755
29,0.11666666666666667,0.0,0.0,-0.025218462336919333,-0.05815547411479688,2.882540702425329,0.0002536544377137607,7.387071139635271,7.387324794072985
30,0.12083333333333333,0.0,0.0,-0.0254357547576891,-0.04573725498865866,3.078204478121016,0.0001568922370423186,7.387390559493802,7.387547451730844
31,0.125,0.0,0.0,-0.02559960612849149,-0.032669415644374644,3.1943584071353115,8.00468038908683e-05,7.387631421008882,7.387711467812773
32,0.12916666666666665,0.0,0.0,-0.02570799988805889,-0.019292738883751187,3.226446437963948,2.7915733022745374e-05,7.387790759835446,7.387818675568469
