帧号(Frame),时间(s)(Time),像素位移X(PixelX),像素位移Y(PixelY),物理位移y(m)(PhysicalY),瞬时速度v(m/s)(Velocity),加速度a(m/s^2)(Acceleration),瞬时动能Ek(J),瞬时势能Ep(J),机械能E(J)
1,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
2,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
3,0.0125,0.5,0.5,0.0016903313049357674,0.4056795131845841,97.36308316430016,0.012343190056326087,7.347515212981745,7.3598584030380705
4,0.016666666666666666,0.5,0.5,0.0016903313049357674,0.0,-97.3630831643002,0.0,7.347515212981745,7.347515212981745
5,0.020833333333333332,0.0,0.0,0.0,-0.4056795131845843,-97.36308316430025,0.012343190056326097,7.35,7.362343190056325
6,0.025,1.0,0.0,0.0,0.0,97.36308316430016,0.0,7.35,7.35
7,0.029166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
8,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
9,0.0375,0.0,1.0,0.0033806626098715348,0.8113590263691686,194.7261663286005,0.04937276022530439,7.345030425963488,7.394403186188792
10,0.041666666666666664,0.5,0.5,0.0016903313049357674,-0.4056795131845843,-292.08924949290076,0.012343190056326097,7.347515212981745,7.3598584030380705
11,0.04583333333333333,0.5,0.5,0.0016903313049357674,0.0,97.36308316430025,0.0,7.347515212981745,7.347515212981745
12,0.05,0.0,0.0,0.0,-0.40567951318458356,-97.36308316429991,0.012343190056326054,7.35,7.362343190056325
13,0.05416666666666667,0.0,0.0,0.0,0.0,97.36308316430008,0.0,7.35,7.35
14,0.058333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
15,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
16,0.06666666666666667,0.5,-0.5,-0.0016903313049357674,-0.4056795131845843,-97.36308316430025,0.012343190056326097,7.352484787018255,7.36482797707458
17,0.07083333333333333,0.5,0.5,0.0016903313049357674,0.8113590263691686,292.08924949290076,0.04937276022530439,7.347515212981745,7.396887973207049
18,0.075,1.0,1.0,0.0033806626098715348,0.4056795131845843,-97.36308316430025,0.012343190056326097,7.345030425963488,7.357373616019814
19,0.07916666666666666,1.0,0.0,0.0,-0.8113590263691686,-292.08924949290076,0.04937276022530439,7.35,7.399372760225304
20,0.08333333333333333,0.0,0.0,0.0,0.0,194.7261663286005,0.0,7.35,7.35
21,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
22,0.09166666666666666,1.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
23,0.09583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
24,0.1,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
25,0.10416666666666667,1.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
26,0.10833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
27,0.1125,1.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
28,0.11666666666666667,0.5,0.5,0.0016903313049357674,0.4056795131845843,97.36308316430025,0.012343190056326097,7.347515212981745,7.3598584030380705
29,0.12083333333333333,0.5,0.5,0.0016903313049357674,0.0,-97.36308316430025,0.0,7.347515212981745,7.347515212981745
30,0.125,1.5,0.5,0.0016903313049357674,0.0,0.0,0.0,7.347515212981745,7.347515212981745
31,0.12916666666666668,1.5,0.5,0.0016903313049357674,0.0,0.0,0.0,7.347515212981745,7.347515212981745
32,0.13333333333333333,1.5,0.5,0.0016903313049357674,0.0,0.0,0.0,7.347515212981745,7.347515212981745
33,0.1375,0.5,0.5,0.0016903313049357674,0.0,0.0,0.0,7.347515212981745,7.347515212981745
34,0.14166666666666666,1.0,0.0,0.0,-0.4056795131845856,-97.36308316430089,0.012343190056326179,7.35,7.362343190056325
35,0.14583333333333334,0.5,1.5,0.005070993914807302,1.2170385395537486,389.452332657199,0.1110887105069341,7.342545638945233,7.453634349452167
36,0.15,0.5,1.5,0.005070993914807302,0.0,-292.0892494929007,0.0,7.342545638945233,7.342545638945233
37,0.15416666666666667,1.5,1.5,0.005070993914807302,0.0,0.0,0.0,7.342545638945233,7.342545638945233
38,0.15833333333333333,1.0,3.0,0.010141987829614604,1.2170385395537568,292.0892494929027,0.1110887105069356,7.335091277890466,7.446179988397402
39,0.1625,1.0,4.0,0.013522650439486139,0.8113590263691658,-97.36308316430156,0.04937276022530405,7.330121703853955,7.379494464079259
40,0.16666666666666666,2.0,4.0,0.013522650439486139,0.0,-194.72616632860047,0.0,7.330121703853955,7.330121703853955
41,0.17083333333333334,2.0,4.5,0.015212981744421906,0.4056795131845829,97.3630831642996,0.012343190056326012,7.3276369168357,7.339980106892026
42,0.175,1.5,4.0,0.013522650439486139,-0.4056795131845856,-194.72616632860115,0.012343190056326179,7.330121703853955,7.342464893910281
43,0.17916666666666667,1.5,5.0,0.016903313049357674,0.8113590263691658,292.08924949289946,0.04937276022530405,7.325152129817443,7.374524890042747
