帧号(Frame),时间(s)(Time),像素位移X(PixelX),像素位移Y(PixelY),物理位移y(m)(PhysicalY),瞬时速度v(m/s)(Velocity),加速度a(m/s^2)(Acceleration),瞬时动能Ek(J),瞬时势能Ep(J),机械能E(J)
1,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
2,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
3,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
4,0.016666666666666666,0.0,1.0,0.0033806626098715348,0.8113590263691686,194.7261663286005,0.04937276022530439,7.345030425963488,7.394403186188792
5,0.020833333333333332,0.0,1.0,0.0033806626098715348,0.0,-194.7261663286005,0.0,7.345030425963488,7.345030425963488
6,0.025,0.5,0.0,0.0,-0.8113590263691679,-194.7261663286002,0.049372760225304305,7.35,7.399372760225304
7,0.029166666666666667,0.0,-0.5,-0.0016903313049357674,-0.4056795131845843,97.3630831643001,0.012343190056326097,7.352484787018255,7.36482797707458
8,0.03333333333333333,0.0,-0.5,-0.0016903313049357674,0.0,97.36308316430025,0.0,7.352484787018255,7.352484787018255
9,0.0375,0.0,0.5,0.0016903313049357674,0.8113590263691686,194.7261663286005,0.04937276022530439,7.347515212981745,7.396887973207049
10,0.041666666666666664,0.5,0.5,0.0016903313049357674,0.0,-194.7261663286005,0.0,7.347515212981745,7.347515212981745
11,0.04583333333333333,1.0,0.5,0.0016903313049357674,0.0,0.0,0.0,7.347515212981745,7.347515212981745
12,0.05,0.0,0.0,0.0,-0.40567951318458356,-97.36308316429991,0.012343190056326054,7.35,7.362343190056325
13,0.05416666666666667,1.0,0.5,0.0016903313049357674,0.4056795131845843,194.72616632860033,0.012343190056326097,7.347515212981745,7.3598584030380705
14,0.058333333333333334,0.0,1.0,0.0033806626098715348,0.4056795131845843,0.0,0.012343190056326097,7.345030425963488,7.357373616019814
15,0.0625,0.5,1.5,0.005070993914807302,0.4056795131845843,0.0,0.012343190056326097,7.342545638945233,7.354888829001559
16,0.06666666666666667,1.0,1.5,0.005070993914807302,0.0,-97.36308316430025,0.0,7.342545638945233,7.342545638945233
17,0.07083333333333333,1.0,1.5,0.005070993914807302,0.0,0.0,0.0,7.342545638945233,7.342545638945233
18,0.075,2.0,1.5,0.005070993914807302,0.0,0.0,0.0,7.342545638945233,7.342545638945233
19,0.07916666666666666,2.0,2.0,0.0067613252197430695,0.4056795131845843,97.36308316430025,0.012343190056326097,7.340060851926978,7.352404041983304
20,0.08333333333333333,2.0,2.0,0.0067613252197430695,0.0,-97.36308316430025,0.0,7.340060851926978,7.340060851926978
21,0.0875,1.5,3.5,0.011832319134550372,1.2170385395537529,292.08924949290076,0.11108871050693488,7.3326064908722115,7.443695201379146
22,0.09166666666666666,1.5,4.5,0.015212981744421906,0.8113590263691686,-97.36308316430025,0.04937276022530439,7.3276369168357,7.377009677061004
23,0.09583333333333334,1.5,5.0,0.016903313049357674,0.4056795131845829,-97.36308316430026,0.012343190056326012,7.325152129817443,7.337495319873769
24,0.1,2.0,9.5,0.03211629479377958,3.6511156186612586,778.9046653144023,0.9997983945624138,7.302789046653143,8.302587441215557
25,0.10416666666666667,1.5,11.0,0.03718728870858688,1.2170385395537529,-584.1784989858015,0.11108871050693488,7.295334685598377,7.406423396105311
26,0.10833333333333334,0.5,14.5,0.049019607843137254,2.83975659229209,389.452332657201,0.6048163127599787,7.277941176470589,7.882757489230567
27,0.1125,1.0,15.5,0.05240027045300879,0.8113590263691686,-486.81541582150123,0.04937276022530439,7.272971602434077,7.322344362659381
28,0.11666666666666667,0.0,15.5,0.05240027045300879,0.0,-194.7261663286005,0.0,7.272971602434077,7.272971602434077
29,0.12083333333333333,1.0,16.5,0.055780933062880324,0.8113590263691686,194.7261663286005,0.04937276022530439,7.268002028397565,7.317374788622869
30,0.125,1.0,19.5,0.06592292089249492,2.434077079107504,389.4523326572006,0.44435484202773884,7.253093306288032,7.697448148315771
31,0.12916666666666668,1.0,19.5,0.06592292089249492,0.0,-584.1784989857991,0.0,7.253093306288032,7.253093306288032
32,0.13333333333333333,0.5,22.0,0.07437457741717377,2.02839756592293,486.81541582150487,0.308579751408155,7.240669371196755,7.54924912260491
33,0.1375,0.5,22.5,0.07606490872210953,0.40567951318458123,-389.4523326572025,0.012343190056325911,7.238184584178499,7.250527774234825
34,0.14166666666666666,1.0,25.0,0.08451656524678837,2.02839756592293,389.4523326572051,0.308579751408155,7.225760649087221,7.534340400495376
35,0.14583333333333334,1.0,26.0,0.0878972278566599,0.8113590263691658,-292.08924949290247,0.04937276022530405,7.22079107505071,7.270163835276014
36,0.15,1.0,27.5,0.0929682217714672,1.217038539553755,97.36308316430177,0.11108871050693528,7.213336713995943,7.324425424502879
37,0.15416666666666667,1.0,29.5,0.09972954699121027,1.6227180527383316,97.36308316429806,0.1974910409012162,7.203397565922921,7.400888606824137
38,0.15833333333333333,1.0,34.5,0.11663286004056794,4.056795131845856,584.1784989858079,1.2343190056326179,7.178549695740365,8.412868701372982
