帧号(Frame),时间(s)(Time),像素位移X(PixelX),像素位移Y(PixelY),物理位移y(m)(PhysicalY),瞬时速度v(m/s)(Velocity),加速度a(m/s^2)(Acceleration),瞬时动能Ek(J),瞬时势能Ep(J),机械能E(J)
0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
1,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
2,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
3,0.0125,1.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
4,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
6,0.025,1.0,-1.0,-0.0033806626098715348,-0.8113590263691679,-194.7261663286002,0.049372760225304305,7.354969574036511,7.404342334261815
7,0.029166666666666667,0.0,0.0,0.0,0.8113590263691686,389.4523326572008,0.04937276022530439,7.35,7.399372760225304
8,0.03333333333333333,0.0,0.0,0.0,0.0,-194.7261663286005,0.0,7.35,7.35
9,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
10,0.041666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
11,0.04583333333333333,0.0,-1.0,-0.0033806626098715348,-0.8113590263691686,-194.7261663286005,0.04937276022530439,7.354969574036511,7.404342334261815
12,0.05,1.0,0.0,0.0,0.8113590263691671,389.45233265720003,0.049372760225304214,7.35,7.399372760225304
13,0.05416666666666667,0.0,0.0,0.0,0.0,-194.72616632860016,0.0,7.35,7.35
14,0.058333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
15,0.0625,1.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
16,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
17,0.07083333333333333,1.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
18,0.075,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
19,0.07916666666666666,1.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
20,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
21,0.0875,1.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
22,0.09166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,7.35,7.35
23,0.09583333333333334,1.0,0.5,0.0016903313049357674,0.4056795131845829,97.3630831642996,0.012343190056326012,7.347515212981745,7.3598584030380705
